################################################################################
# Collectl:   V3.6.1-4  HiRes: 1  Options: -i 5 --plot --filename cpu 
# Host:       ip-10-72-239-72  DaemonOpts: 
# Distro:     debian wheezy/sid, Ubuntu 11.10  Platform: 
# Date:       20120604-210213  Secs: 1338843733 TZ: +0000
# SubSys:     cdn Options:  Interval: 5 NumCPUs: 2 [HYPER] NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt: 
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2266.746 Cores: 1  Siblings: 2 Nodes: 1
# Kernel:     3.0.0-16-virtual  Memory: 7645720 kB  Swap: 0 kB
# NumDisks:   1 DiskNames: xvdb
# NumNets:    2 NetNames: lo: eth0:
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [NET]RxPktTot [NET]TxPktTot [NET]RxKBTot [NET]TxKBTot [NET]RxCmpTot [NET]RxMltTot [NET]TxCmpTot [NET]RxErrsTot [NET]TxErrsTot [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
20120604 21:02:19 0 0 0 0 0 0 0 100 0 15 16 0 197 0 0.06 0.05 0.05 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:02:24 0 0 0 0 0 0 0 100 0 18 16 0 197 0 0.05 0.05 0.05 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:02:29 3 0 2 0 0 0 1 94 6 225 163 13 198 0 0.05 0.05 0.05 0 0 5 5 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:02:34 0 0 0 0 0 0 0 100 0 18 20 0 198 0 0.04 0.05 0.05 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:02:39 0 0 0 0 0 0 0 100 0 17 14 0 198 0 0.04 0.05 0.05 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:02:44 0 0 0 0 0 0 0 100 0 17 17 0 198 0 0.04 0.05 0.05 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:02:49 0 0 0 0 0 0 0 100 0 29 26 0 198 0 0.04 0.05 0.05 0 0 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:02:54 1 0 1 0 0 0 0 98 2 1929 1153 0 198 0 0.03 0.05 0.05 0 0 1218 1105 172 133 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:02:59 1 0 1 0 0 0 0 98 2 1483 851 0 198 0 0.03 0.05 0.05 0 0 964 877 136 107 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:03:04 1 0 1 0 0 0 0 98 2 650 394 0 198 1 0.03 0.05 0.05 1 0 351 324 49 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:03:09 0 0 0 0 0 0 0 100 0 119 69 0 198 0 0.03 0.04 0.05 0 0 38 36 6 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:03:14 2 0 2 0 0 0 0 95 5 4991 2274 0 198 1 0.02 0.04 0.05 1 0 2106 1937 296 241 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:03:19 0 0 0 0 0 0 0 100 0 73 58 0 198 0 0.02 0.04 0.05 0 0 33 30 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:03:24 3 0 2 0 0 0 0 95 5 4836 2569 0 198 1 0.02 0.04 0.05 1 0 2110 1938 296 241 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:03:29 0 0 0 0 0 0 0 100 0 103 61 0 198 0 0.02 0.04 0.05 0 0 33 31 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:03:34 2 0 3 0 0 0 0 95 5 4353 2231 0 198 1 0.02 0.04 0.05 2 0 2070 1937 294 241 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:03:39 0 0 0 0 0 0 0 100 0 91 66 0 198 0 0.02 0.04 0.05 0 0 34 33 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:03:44 2 0 2 0 0 0 0 95 5 5087 2530 0 198 2 0.01 0.04 0.05 1 0 2094 1946 295 241 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:03:49 0 0 0 0 0 0 0 100 0 114 58 0 198 0 0.01 0.04 0.05 0 0 34 31 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:03:54 2 0 2 0 0 0 0 96 4 4496 2063 2 198 1 0.01 0.04 0.05 1 0 2121 1946 297 242 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:03:59 0 0 0 0 0 0 0 100 0 106 55 0 198 0 0.01 0.04 0.05 0 0 34 31 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:04:04 2 0 2 0 0 0 0 95 5 5156 2143 0 198 1 0.01 0.04 0.05 1 0 2079 1928 294 240 0 0 0 0 0 0 0 0 0 0 0 0 0 0
################################################################################
# Collectl:   V3.6.1-4  HiRes: 1  Options: -i 5 --plot --filename cpu 
# Host:       ip-10-72-239-72  DaemonOpts: 
# Distro:     debian wheezy/sid, Ubuntu 11.10  Platform: 
# Date:       20120604-210213  Secs: 1338843733 TZ: +0000
# SubSys:     cdn Options:  Interval: 5 NumCPUs: 2 [HYPER] NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt: 
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2266.746 Cores: 1  Siblings: 2 Nodes: 1
# Kernel:     3.0.0-16-virtual  Memory: 7645720 kB  Swap: 0 kB
# NumDisks:   1 DiskNames: xvdb
# NumNets:    2 NetNames: lo: eth0:
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [NET]RxPktTot [NET]TxPktTot [NET]RxKBTot [NET]TxKBTot [NET]RxCmpTot [NET]RxMltTot [NET]TxCmpTot [NET]RxErrsTot [NET]TxErrsTot [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
20120604 21:04:09 0 0 0 0 0 0 0 100 0 103 64 0 198 0 0.01 0.04 0.05 0 0 36 33 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:04:14 2 0 2 0 0 0 0 96 4 5075 2397 0 198 2 0.01 0.04 0.05 2 0 2067 1929 293 240 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:04:19 0 0 0 0 0 0 0 100 0 114 57 0 198 0 0.01 0.04 0.05 0 0 35 32 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:04:24 2 0 2 0 0 0 0 96 4 4506 2356 0 198 2 0.01 0.04 0.05 2 0 2089 1945 295 241 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:04:29 0 0 0 0 0 0 0 100 0 131 75 0 198 0 0.01 0.04 0.05 0 0 37 34 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:04:34 2 0 3 0 0 0 0 96 4 5353 2167 4 198 2 0.01 0.04 0.05 2 0 2097 1949 295 242 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:04:39 0 0 0 2 0 0 0 97 1 191 128 4 199 0 0.01 0.04 0.05 0 0 39 36 5 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:04:44 3 0 2 0 0 0 0 95 5 4540 2182 0 199 2 0.01 0.03 0.05 2 0 2110 1949 296 245 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:04:49 0 0 0 0 0 0 0 100 0 112 77 0 199 0 0.00 0.03 0.05 0 0 34 32 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:04:54 2 0 2 0 0 0 0 96 4 5133 2178 0 199 1 0.00 0.03 0.05 1 0 2089 1948 295 244 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:04:59 0 0 0 0 0 0 0 100 0 104 53 0 199 0 0.00 0.03 0.05 0 0 35 31 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:05:04 2 0 2 0 0 0 0 95 4 4450 1953 0 198 2 0.00 0.03 0.05 2 0 2110 1938 296 241 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 21:05:09 0 0 0 0 0 0 0 100 0 72 55 0 198 0 0.00 0.03 0.05 0 0 34 32 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
