################################################################################
# Collectl:   V3.6.1-4  HiRes: 1  Options: -i 5 --plot --filename cpu 
# Host:       ip-10-111-15-73  DaemonOpts: 
# Distro:     debian wheezy/sid, Ubuntu 11.10  Platform: 
# Date:       20120605-110430  Secs: 1338894270 TZ: +0000
# SubSys:     cdn Options:  Interval: 5 NumCPUs: 2 [HYPER] NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt: 
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2266.746 Cores: 1  Siblings: 2 Nodes: 1
# Kernel:     3.0.0-16-virtual  Memory: 7645720 kB  Swap: 0 kB
# NumDisks:   1 DiskNames: xvdb
# NumNets:    2 NetNames: lo: eth0:
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [NET]RxPktTot [NET]TxPktTot [NET]RxKBTot [NET]TxKBTot [NET]RxCmpTot [NET]RxMltTot [NET]TxCmpTot [NET]RxErrsTot [NET]TxErrsTot [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
20120605 11:04:36 15 0 2 0 0 0 6 77 23 217 70 0 188 0 0.27 0.10 0.11 0 0 8 8 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120605 11:04:41 2 0 1 0 0 0 1 96 4 122 80 7 189 0 0.25 0.10 0.10 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120605 11:04:46 0 0 0 0 0 0 0 100 0 13 16 0 189 0 0.23 0.10 0.10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120605 11:04:51 0 0 0 0 0 0 0 100 0 13 15 0 189 0 0.21 0.10 0.10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120605 11:04:56 0 0 0 0 0 0 0 100 0 18 14 0 189 0 0.19 0.09 0.10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120605 11:05:01 0 0 0 0 0 0 0 100 0 17 16 0 189 0 0.18 0.09 0.10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120605 11:05:06 0 0 0 0 0 0 0 100 0 22 17 0 189 0 0.16 0.09 0.10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120605 11:05:11 0 0 0 0 0 0 0 100 0 25 21 0 189 0 0.15 0.09 0.10 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120605 11:05:16 0 0 0 0 0 0 0 100 0 60 57 2 189 0 0.14 0.09 0.10 0 0 7 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120605 11:05:21 0 0 0 0 0 0 0 100 0 20 20 0 189 0 0.13 0.09 0.10 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120605 11:05:26 6 0 2 0 0 0 2 89 11 329 226 14 200 2 0.20 0.10 0.11 2 0 6 7 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120605 11:05:31 27 0 3 0 0 0 12 58 42 327 117 4 196 1 0.26 0.12 0.11 0 0 10 11 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120605 11:05:36 0 0 0 0 0 0 0 100 0 17 21 0 196 0 0.24 0.12 0.11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120605 11:05:41 0 0 0 0 0 0 0 100 0 17 15 0 196 0 0.22 0.11 0.11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120605 11:05:46 0 0 0 0 0 0 0 100 0 13 16 0 196 0 0.20 0.11 0.11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120605 11:05:51 1 0 1 0 0 0 1 97 3 182 138 7 198 1 0.19 0.11 0.11 1 0 8 8 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120605 11:05:56 3 0 2 0 0 0 1 94 6 692 487 10 210 0 0.17 0.11 0.11 0 0 201 214 17 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120605 11:06:01 0 0 0 0 0 0 0 100 0 26 22 0 210 0 0.16 0.11 0.11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120605 11:06:06 0 0 0 0 0 0 0 100 0 24 20 0 210 0 0.14 0.10 0.11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120605 11:06:11 0 0 0 0 0 0 0 100 0 85 110 0 198 1 0.13 0.10 0.11 0 0 8 9 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120605 11:06:16 0 0 0 0 0 0 0 100 0 18 18 0 198 0 0.12 0.10 0.11 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120605 11:06:21 0 0 0 0 0 0 0 100 0 16 16 0 198 0 0.11 0.10 0.11 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
################################################################################
# Collectl:   V3.6.1-4  HiRes: 1  Options: -i 5 --plot --filename cpu 
# Host:       ip-10-111-15-73  DaemonOpts: 
# Distro:     debian wheezy/sid, Ubuntu 11.10  Platform: 
# Date:       20120605-110430  Secs: 1338894270 TZ: +0000
# SubSys:     cdn Options:  Interval: 5 NumCPUs: 2 [HYPER] NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt: 
