################################################################################
# Collectl:   V3.6.1-4  HiRes: 1  Options: -i 5 --vmstat -P --filename memory 
# Host:       ip-10-111-15-73  DaemonOpts: 
# Distro:     debian wheezy/sid, Ubuntu 11.10  Platform: 
# Date:       20120605-110437  Secs: 1338894277 TZ: +0000
# SubSys:     cm Options:  Interval: 5 NumCPUs: 2 [HYPER] NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt: 
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2266.746 Cores: 1  Siblings: 2 Nodes: 1
# Kernel:     3.0.0-16-virtual  Memory: 7645720 kB  Swap: 0 kB
# NumDisks:   1 DiskNames: xvdb
# NumNets:    2 NetNames: lo: eth0:
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [MEM]Tot [MEM]Used [MEM]Free [MEM]Shared [MEM]Buf [MEM]Cached [MEM]Slab [MEM]Map [MEM]Anon [MEM]Commit [MEM]Locked [MEM]SwapTot [MEM]SwapUsed [MEM]SwapFree [MEM]SwapIn [MEM]SwapOut [MEM]Dirty [MEM]Clean [MEM]Laundry [MEM]Inactive [MEM]PageIn [MEM]PageOut [MEM]PageFaults [MEM]PageMajFaults [MEM]HugeTotal [MEM]HugeFree [MEM]HugeRsvd [MEM]SUnreclaim
20120605 11:04:43 0 0 0 0 0 0 0 100 0 13 16 0 189 0 0.25 0.10 0.10 0 0 7645720 483620 7162100 0 18020 222560 27616 17360 119892 346988 0 0 0 0 0 0 920 0 0 58080 0 0 8 0 0 0 0 7152
20120605 11:04:48 0 0 0 0 0 0 0 100 0 13 15 0 189 0 0.23 0.10 0.10 1 0 7645720 483620 7162100 0 18028 222560 27616 17360 119920 346988 0 0 0 0 0 0 920 0 0 58080 0 5 18 0 0 0 0 7152
20120605 11:04:53 0 0 0 0 0 0 0 100 0 20 16 0 189 0 0.21 0.10 0.10 0 0 7645720 483620 7162100 0 18028 222560 27616 17360 119928 346988 0 0 0 0 0 0 736 0 0 58088 0 37 5 0 0 0 0 7152
20120605 11:04:58 0 0 0 0 0 0 0 100 0 11 14 0 189 0 0.19 0.09 0.10 0 0 7645720 483620 7162100 0 18028 222560 27616 17360 119928 346988 0 0 0 0 0 0 736 0 0 58088 0 0 0 0 0 0 0 7152
20120605 11:05:03 0 0 0 0 0 0 0 100 0 25 16 0 189 0 0.18 0.09 0.10 0 0 7645720 483628 7162092 0 18032 222576 27624 17360 119928 346988 0 0 0 0 0 0 416 0 0 58092 0 68 5 0 0 0 0 7160
20120605 11:05:08 0 0 0 0 0 0 0 100 0 19 16 0 189 0 0.16 0.09 0.10 0 0 7645720 483620 7162100 0 18040 222576 27616 17360 119928 346988 0 0 0 0 0 0 76 0 0 58108 0 94 0 0 0 0 0 7152
20120605 11:05:13 0 0 0 0 0 0 0 100 0 39 40 1 189 0 0.15 0.09 0.10 0 0 7645720 483868 7161852 0 18048 222576 27616 17360 119936 346988 0 0 0 0 0 0 80 0 0 58120 0 5 188 0 0 0 0 7152
20120605 11:05:18 0 0 0 0 0 0 0 100 0 47 43 1 189 0 0.14 0.09 0.10 0 0 7645720 483744 7161976 0 18048 222232 27616 17360 119936 346988 0 0 0 0 0 0 80 0 0 57900 0 0 376 0 0 0 0 7152
20120605 11:05:23 0 0 0 0 0 0 0 100 0 16 18 0 189 0 0.13 0.09 0.10 0 0 7645720 483744 7161976 0 18056 222228 27616 17360 119936 346988 0 0 0 0 0 0 104 0 0 57904 0 9 5 0 0 0 0 7152
20120605 11:05:28 20 0 4 0 0 0 8 68 32 462 256 14 200 2 0.20 0.10 0.11 1 0 7645720 538604 7107116 0 18056 221840 27768 17636 174788 423200 0 0 0 0 0 0 404 0 0 57556 0 0 15895 0 0 0 0 7264
20120605 11:05:33 12 0 1 0 0 0 5 82 18 196 90 4 196 0 0.26 0.12 0.11 0 0 7645720 491528 7154192 0 18064 222232 27688 17376 127792 391192 0 0 0 0 0 0 800 0 0 57912 0 22 3906 0 0 0 0 7200
20120605 11:05:38 0 0 0 0 0 0 0 100 0 17 16 0 196 0 0.24 0.12 0.11 0 0 7645720 491528 7154192 0 18072 222232 27688 17376 127796 391192 0 0 0 0 0 0 692 0 0 57916 0 34 0 0 0 0 0 7200
20120605 11:05:43 0 0 0 0 0 0 0 100 0 13 16 0 196 0 0.22 0.11 0.11 0 0 7645720 491520 7154200 0 18072 222232 27680 17376 127796 391192 0 0 0 0 0 0 692 0 0 57916 0 0 5 0 0 0 0 7200
