################################################################################
# Collectl:   V3.6.1-4  HiRes: 1  Options: -i 5 --plot --filename cpu 
# Host:       ip-10-101-34-136  DaemonOpts: 
# Distro:     debian wheezy/sid, Ubuntu 11.10  Platform: 
# Date:       20120604-172754  Secs: 1338830874 TZ: +0000
# SubSys:     cdn Options:  Interval: 5 NumCPUs: 2 [HYPER] NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt: 
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2266.746 Cores: 1  Siblings: 2 Nodes: 1
# Kernel:     3.0.0-16-virtual  Memory: 7645720 kB  Swap: 0 kB
# NumDisks:   1 DiskNames: xvdb
# NumNets:    2 NetNames: lo: eth0:
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [NET]RxPktTot [NET]TxPktTot [NET]RxKBTot [NET]TxKBTot [NET]RxCmpTot [NET]RxMltTot [NET]TxCmpTot [NET]RxErrsTot [NET]TxErrsTot [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
20120604 17:28:00 0 0 0 0 0 0 0 100 0 15 17 0 187 1 0.00 0.03 0.05 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 17:28:05 2 0 1 0 0 0 1 96 4 149 104 7 188 1 0.00 0.03 0.05 1 0 5 5 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 17:28:10 1 0 1 0 0 0 0 98 2 94 68 6 188 0 0.00 0.03 0.05 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 17:28:15 0 0 0 0 0 0 0 100 0 14 14 0 188 0 0.00 0.03 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 17:28:20 0 0 0 0 0 0 0 100 0 16 17 0 188 1 0.00 0.03 0.05 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 17:28:25 0 0 0 0 0 0 0 100 0 14 15 0 188 0 0.00 0.03 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 17:28:30 0 0 0 0 0 0 0 100 0 17 17 0 188 1 0.00 0.03 0.05 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 17:28:35 0 0 0 0 0 0 0 100 0 14 14 0 188 0 0.00 0.03 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 17:28:40 19 0 4 0 0 0 7 69 31 473 281 14 199 2 0.00 0.03 0.05 2 0 11 12 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20120604 17:28:45 12 0 1 0 0 0 5 81 19 231 109 4 197 0 0.08 0.04 0.05 0 0 9 9 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
